fund_code,fund_name,fund_type,candidate_tier,proxy_provider,proxy_code,fee_tag,min_holding_days,enabled,tail_strategy_eligible,exclude_reason
001632,天弘中证食品饮料ETF联接C,consumer,preferred,cni,399396,低费率,7,true,true,
017437,华宝纳斯达克精选股票(QDII)C,overseas,preferred,us_sina,QQQ,普通费率,7,true,true,
008888,华夏国证半导体芯片ETF联接C,sector,preferred,cni,980017,低费率,7,true,true,
007995,华夏中证500指数增强C,broad_index,preferred,csindex,000905,低费率,7,true,true,
161604,融通深证100指数A,broad_index,preferred,cni,399330,低费率,7,true,true,
161005,富国天惠成长混合(LOF)A,active_mixed,preferred,csindex,000300,普通费率,7,true,true,
162412,华宝医疗ETF联接A,medical,preferred,csindex,399989,低费率,7,true,true,
161028,富国中证新能源汽车指数(LOF)A,sector,preferred,csindex,399976,低费率,7,true,true,
000696,汇添富环保行业股票,sector,preferred,csindex,000827,普通费率,7,true,true,
260108,景顺长城新兴成长混合A,active_mixed,preferred,csindex,000300,普通费率,7,true,true,
000977,长城环保主题混合A,sector,preferred,csindex,000827,普通费率,7,true,true,
012968,广发行业严选三年持有期混合C,active_mixed,preferred,csindex,000300,普通费率,7,true,true,
320007,诺安成长混合A,active_mixed,preferred,cni,399006,普通费率,7,true,true,
110020,易方达沪深300ETF联接A,broad_index,preferred,csindex,000300,低费率,7,true,true,
163406,兴全合润混合A,active_mixed,preferred,csindex,000300,普通费率,7,true,true,
004851,广发医疗保健股票A,medical,preferred,csindex,399989,普通费率,7,true,true,
005827,易方达蓝筹精选混合,active_mixed,preferred,csindex,000300,普通费率,7,true,true,
000008,嘉实中证500ETF联接A,broad_index,preferred,csindex,000905,低费率,7,true,true,
000042,财通中证ESG100指数增强A,active_mixed,preferred,csindex,000300,低费率,7,true,true,
000051,华夏沪深300ETF联接A,broad_index,preferred,csindex,000300,低费率,7,true,true,
000055,广发纳斯达克100ETF联接美元(QDII)A,overseas,preferred,us_sina,QQQ,低费率,7,true,true,
000056,建信消费升级混合,consumer,preferred,cni,399396,普通费率,7,true,true,
000057,中银消费主题混合A,consumer,preferred,cni,399396,普通费率,7,true,true,
000059,国联安中证医药100A,medical,preferred,csindex,399989,普通费率,7,true,true,
000083,汇添富消费行业混合,consumer,preferred,cni,399396,普通费率,7,true,true,
000154,富国沪深300指数增强A(后端),broad_index,preferred,csindex,000300,低费率,7,true,true,
000164,富国上证指数ETF联接A(后端),active_mixed,preferred,csindex,000300,低费率,7,true,true,
000172,华泰柏瑞量化增强混合A,active_mixed,preferred,csindex,000300,低费率,7,true,true,
000176,嘉实沪深300指数研究增强A,broad_index,preferred,csindex,000300,低费率,7,true,true,
000220,富国医疗保健行业混合A,medical,preferred,csindex,399989,普通费率,7,true,true,
000248,汇添富中证主要消费ETF联接A,consumer,preferred,cni,399396,低费率,7,true,true,
000311,景顺长城沪深300指数增强A,broad_index,preferred,csindex,000300,低费率,7,true,true,
000312,华安沪深300增强A,broad_index,preferred,csindex,000300,低费率,7,true,true,
000313,华安沪深300增强C,broad_index,preferred,csindex,000300,低费率,7,true,true,
000339,长城医疗保健混合A,medical,preferred,csindex,399989,普通费率,7,true,true,
000368,汇添富沪深300安中指数A,broad_index,preferred,csindex,000300,低费率,7,true,true,
000369,广发全球医疗保健指数人民币(QDII)A,medical,preferred,csindex,399989,低费率,7,true,true,
000370,广发全球医疗保健美元现汇(QDII)A,medical,preferred,csindex,399989,普通费率,7,true,true,
000373,华安中证细分医药ETF联接A,medical,preferred,csindex,399989,低费率,7,true,true,
000376,华安中证细分医药ETF联接C,medical,preferred,csindex,399989,低费率,7,true,true,
000452,南方医药保健灵活配置混合A,medical,preferred,csindex,399989,普通费率,7,true,true,
000478,建信中证500指数增强A,broad_index,preferred,csindex,000905,低费率,7,true,true,
000512,国泰沪深300指数增强A,broad_index,preferred,csindex,000300,低费率,7,true,true,
000523,国投瑞银医疗保健混合A,medical,preferred,csindex,399989,普通费率,7,true,true,
000551,中信保诚幸福消费混合A,consumer,preferred,cni,399396,普通费率,7,true,true,
000565,富国医疗保健行业混合A(后端),medical,preferred,csindex,399989,普通费率,7,true,true,
000593,易方达标普消费品指数美元现汇A,consumer,preferred,cni,399396,低费率,7,true,true,
000596,前海开源中证军工指数A,active_mixed,preferred,csindex,000300,低费率,7,true,true,
000613,国寿安保沪深300ETF联接A,broad_index,preferred,csindex,000300,低费率,7,true,true,
000656,前海开源沪深300指数A,broad_index,preferred,csindex,000300,低费率,7,true,true,
000711,嘉实医疗保健股票,medical,preferred,csindex,399989,普通费率,7,true,true,
000780,鹏华医疗保健股票,medical,preferred,csindex,399989,普通费率,7,true,true,
000826,广发百发100指数A,active_mixed,preferred,csindex,000300,低费率,7,true,true,
000827,广发百发100指数E,active_mixed,preferred,csindex,000300,低费率,7,true,true,
000831,工银医疗保健股票,medical,preferred,csindex,399989,普通费率,7,true,true,
